,id,created_at,date,user_id,name,retweet,nlikes,nreplies,nretweets,tweet4
0,1353913978834051073,1611633221000.0,2021-01-26 03:53:41,177757484,NOHY✨ البراقة,False,0,1,0,سحبتو مني مبلغ لشحن رصيد طريق ماي اس سي تواصلت معاهم قالو تتواصلي البنك وانا ابغى المبلغ يرجع
1,1353709940901371904,1611584575000.0,2021-01-25 14:22:55,1280687902364745731,B..,False,2,2,0,اذا رقمك شغال وعندك نسخه واتس اب السحابه بالواتس يقدر يسترحع المحادثات عشان النسخه-يقدر يشوف الارقام طريق ماي اس سي قعدتي فالافضل انه مو باسمه ونزله تطالبين برقم انه يصير تحت اسمك قبل يملكه شخص اخر ودايما الشي الخاص فيك يكون باسمك افضل
2,1353470988319653888,1611527604000.0,2021-01-24 22:33:24,2569667586,A&....,False,0,1,0,اشتراك stc للمنصه روح ل stc واسالهم طريقته الاتّصالات السّعوديّة STC ريالاً سعوديّاًثلاثة أشهريتمّ الاشتراك الحزمة عبر تطبيق ماي اس سي
3,1353426146621235201,1611516913000.0,2021-01-24 19:35:13,584766522,a7sas asmar,False,0,1,0,شوي وأحد يمنشني الله يسعدكم شكلي الليله مداوم موظف اس سي ارد العملاء 😂😂 حملي ماي اس سي وشوفي وش المشكله ممكن تبين معك
4,1353417040816713729,1611514742000.0,2021-01-24 18:59:02,408119559,Rehab. 👩🏻‍💻,False,0,1,0,اقدر اطلع بدل فاقد تطبيق ماي اس سي
5,1353415174825324551,1611514297000.0,2021-01-24 18:51:37,841653260,saeed moeen,False,0,1,0,السلام عليكم طلبت شريحه الكترونيه مفوتره طريق التطبيق وخصم المبلغ مدري ماجتني اي معلومات استلمها وكتبلي ان تم التفعيل ظاهره بتطبيق ماي اس سي
6,1353285205977673728,1611483310000.0,2021-01-24 10:15:10,1071345355449618432,Faris Falah,False,0,0,0,السلام عليكم stc وين راحت الفلوس اللي أنخصمت رصيدي البنكي طريق ماي اس سي
7,1353128045645852672,1611445840000.0,2021-01-23 23:50:40,1321684438430978048,fahad,False,0,1,0,سمحت عندي شريحة قديمة وجيت بشحنها ماي اس سي وحصلتها الرقم موجود علمًا ان الواتساب وبياناتي كلها مسجله عليها ارجو افادتي
8,1352783530707869698,1611363701000.0,2021-01-23 01:01:41,1256366634060709889,nasser,False,0,0,0,انا اشحن طريق تطبيق ماي اس سي افضل
9,1352723045006372865,1611349280000.0,2021-01-22 21:01:20,1139471865750204416,محمد نور✊🏿,False,0,1,0,السلام عليكم عندي مشكلة تطبيق ماي اس سي اجي أطلب فايبر يقول ( الخدمة متوفرة الوقت الحالي الرجاء المحاولة لاحقاً ) فهل تعلموني طريقه احل المشكله او تعطوني رقم مندوب اتواصل معه اتمنى تردون ان كانت مشكله مؤقته او
